Class Name,Date,Title,Description
Calculation Training,3/15/2026,HW 9,
Calculation Training,3/21/2026,HW 10,
Calculation Training,3/28/2026,HW 11,
Calculation Training,4/4/2026,HW 12,
Calculation Training,4/21/2026,HW 13,
Calculation Training,5/2/2026,IM Tatev #1,
Calculation Training,5/9/2026,IM Tatev #2,
Calculation Training,5/16/2026,HW 15,
Calculation Training,5/23/2026,HW 16,
,,,
,,,
1.d4 Starter Repertoire / Typical Plans,02/03,Overview to 1.d4,
1.d4 Starter Repertoire / Typical Plans,02/10,Queen's Gambit Declined,
1.d4 Starter Repertoire / Typical Plans,02/17,Slav,
1.d4 Starter Repertoire / Typical Plans,02/24,Queen's Gambit Accepted,
1.d4 Starter Repertoire / Typical Plans,03/03,Queen's Gambit Sidelines,
1.d4 Starter Repertoire / Typical Plans,03/10,Nimzo-Indian,
1.d4 Starter Repertoire / Typical Plans,03/17,3.Nf3 vs. Nimzo,
1.d4 Starter Repertoire / Typical Plans,03/24,Benoni,
1.d4 Starter Repertoire / Typical Plans,03/31,Benko Gambit,
1.d4 Starter Repertoire / Typical Plans,04/07,Grunfeld,
1.d4 Starter Repertoire / Typical Plans,04/14,King's Indian,
1.d4 Starter Repertoire / Typical Plans,04/21,Model Games: Queen's Gambit Declined,
1.d4 Starter Repertoire / Typical Plans,05/05,Model Games: Piket - Kasparov (w/ GM Jesse),
1.d4 Starter Repertoire / Typical Plans,05/12,Pillsbury Attack Part 1,
1.d4 Starter Repertoire / Typical Plans,05/19,Pillsbury Attack Part 2,
1.d4 Starter Repertoire / Typical Plans,05/26,Dutch Defense,
